mn_tbl,spc_tbl,spc_ltx_tbl,cat_tbl,mt_tbl,freq_tbl,freq_rs_tbl,EU_K_tbl,aij_tbl,qn_tbl,peak_tbl,peak_val,intint_tbl,intint_val,nupper_deg_tbl,in_aces_tbl
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,89.568104,89.55615331857226,51.442561339273595,-4.353780080477684,"$10_{5,6} – 9_{5,5}$",$0.043791286318054234 \pm 0.06475051020235593$,0.043791286318054234,$0.6593991136598075 \pm 0.3665332087439827$,0.6593991136598075,$11056582506.228016 1 / cm2 \pm 6145905537.023714 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,89.568104,89.55615331857226,51.442561339273595,-4.353780080477684,"$10_{5,5} – 9_{5,4}$",$0.043791286318054234 \pm 0.06475051020235593$,0.043791286318054234,$0.6593991136598075 \pm 0.3665332087439827$,0.6593991136598075,$11056582506.228016 1 / cm2 \pm 6145905537.023714 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,89.5900283,89.57807469330854,41.43879076662362,-4.304257217565685,"$10_{4,7} – 9_{4,6}$",$0.00030255378865676197 \pm 0.06475051020235593$,0.00030255378865676197,$0.22561576471815664 \pm 0.3664435114393843$,0.22561576471815664,$3377005102.847646 1 / cm2 \pm 5484907535.526587 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,89.59101270000001,89.57905896196434,41.438838010372436,-4.304252411521781,"$10_{4,6} – 9_{4,5}$",$0.07531312245825833 \pm 0.06475051020235593$,0.07531312245825833,$0.3945027434602427 \pm 0.3664394850655528$,0.3945027434602427,$5904961087.996105 1 / cm2 \pm 5484907104.671336 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,89.628485,89.61652626219879,33.65915553284234,-4.2689349143931725,"$10_{3,8} – 9_{3,7}$",$0.1064562098233428 \pm 0.06475051020235593$,0.1064562098233428,$0.3404951179192267 \pm 0.29907149715113335$,0.3404951179192267,$4702443911.800039 1 / cm2 \pm 4130358607.0943093 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,89.6847102,89.67274396031561,33.66501922598935,-4.268156029750264,"$10_{3,7} – 9_{3,6}$",$0.08250803738107765 \pm 0.06475051020235593$,0.08250803738107765,$0.6019741003892362 \pm 0.36605664986813663$,0.6019741003892362,$8309145498.378043 1 / cm2 \pm 5052738917.5655 1 / cm2$,False
cyclopropenylidene,c-C3H2,$c-\mathrm{C_3H_2}$,CDMS,38508,90.3440819,90.33187700551613,64.71021905966536,-4.664898223457092,"$6_{5,2} – 6_{4,3}$",$-0.07935284461545677 \pm 0.06475051020235593$,-0.07935284461545677,$-0.7656809612303628 \pm 0.363385003973146$,-0.7656809612303628,$-14397460201.042667 1 / cm2 \pm 6832899598.224509 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,90.45334940000001,90.4412806041399,28.217866143260522,-4.233862509004427,"$10_{2,8} – 9_{2,7}$",$0.11788087268394576 \pm 0.06475051020235593$,0.11788087268394576,$0.8554092639057084 \pm 0.3629460354774624$,0.8554092639057084,$11098683674.776333 1 / cm2 \pm 4709118089.727088 1 / cm2$,False
cyanoacetylene,HC13CCN,$\mathrm{HC^{13}CCN}$,CDMS,52510,90.593059,90.5806693773798,23.912988477745316,-4.241229363511936,$10 – 9$,$0.08219252049104742 \pm 0.06475051020235593$,0.08219252049104742,$0.4002786807187132 \pm 0.362386312180296$,0.4002786807187132,$5298676209.815149 1 / cm2 \pm 4797077195.479553 1 / cm2$,False
cyanoacetylene,HC3N,$\mathrm{HC_3N}$,CDMS,51501,90.979023,90.9665805924495,24.01496088717623,-4.235648832430617,$10 – 9$,$0.7877940871734139 \pm 0.06475051020235593$,0.7877940871734139,$6.018389452658684 \pm 0.3608489460275899$,6.018389452658684,$79322677837.22868 1 / cm2 \pm 4756007386.827603 1 / cm2$,False
